ddt,dd
5.984167179343596217e+03,2.292132709201417128e+03
5.684252666235987817e+03,2.292132709201417128e+03
5.564019598782029789e+03,1.684978779727911387e+03
5.497232676317780715e+03,1.684978779727911387e+03
5.788030347969838658e+03,1.894715378212134283e+03
5.787255822041360261e+03,1.894715378212134283e+03
6.235963463180829422e+03,1.842535455571578268e+03
5.667187718597168896e+03,1.842535455571578268e+03
6.162379617172885446e+03,1.409172157037377019e+03
6.135618420333102222e+03,1.409172157037377019e+03
5.334045730016321613e+03,2.246874132091342290e+03
5.565391163408635293e+03,2.246874132091342290e+03
5.657263353062296119e+03,2.295641658534953422e+03
5.671616798437877151e+03,2.295641658534953422e+03
5.949959365846931178e+03,2.178864560595104649e+03
5.991649765311392912e+03,2.178864560595104649e+03
4.960918666109914739e+03,2.431229980359558795e+03
5.653167808849217181e+03,2.431229980359558795e+03
6.375542734557735457e+03,2.289894757425078751e+03
6.467800269297259547e+03,2.289894757425078751e+03
5.691575980913326021e+03,2.196881392662196504e+03
5.774083058489127325e+03,2.196881392662196504e+03
6.285644593075286139e+03,1.669983688208752028e+03
6.351794949795942557e+03,1.669983688208752028e+03
6.056120461173573858e+03,1.652643763804892842e+03
6.306844145841624595e+03,1.652643763804892842e+03
6.191263834838188814e+03,1.307931878614883090e+03
6.345775521409918838e+03,1.307931878614883090e+03
5.755414382984277836e+03,1.232130537328324408e+03
5.854181360516559835e+03,1.232130537328324408e+03
4.966040455695486344e+03,2.063441356805240048e+03
5.313607811732651498e+03,2.063441356805240048e+03
6.389264077554040341e+03,1.347659322359038697e+03
6.563918386956268478e+03,1.347659322359038697e+03
4.833298052800284495e+03,2.002162269121010240e+03
5.189083098075399903e+03,2.002162269121010240e+03
5.256034642488472855e+03,1.171520178354895961e+03
5.444001249417303370e+03,1.171520178354895961e+03
5.464144702285952008e+03,2.841895693225918421e+03
5.533622007891584872e+03,2.841895693225918421e+03
4.945858632273406329e+03,3.136163894829805940e+03
4.976105569301623291e+03,3.136163894829805940e+03
6.379020715424904665e+03,1.345568480358684155e+03
5.858638867954257876e+03,1.345568480358684155e+03
5.517905155316163473e+03,1.849551816893640080e+03
5.589056262153249008e+03,1.849551816893640080e+03
5.899523995876077606e+03,3.520942350844033626e+03
5.435485503643909396e+03,3.520942350844033626e+03
5.870511726014283340e+03,1.598665013189641968e+03
5.852718925492090420e+03,1.598665013189641968e+03
6.612945744306676715e+03,1.945515009721761317e+03
7.655872206849083341e+03,1.945515009721761317e+03
6.248438595664243621e+03,1.528778516465621124e+03
5.887775678627750494e+03,1.528778516465621124e+03
5.600281590428189702e+03,1.925782372858141116e+03
5.531932697181767253e+03,1.925782372858141116e+03
6.623203748778231784e+03,1.820015499624971653e+03
6.280506956291756978e+03,1.820015499624971653e+03
5.361426003267782107e+03,1.626806598326539415e+03
5.281206662441054505e+03,1.626806598326539415e+03
5.595029524216209211e+03,1.423772479215431304e+03
5.921417059994386364e+03,1.423772479215431304e+03
6.100186873563538938e+03,2.246493332305319655e+03
6.217003383284003576e+03,2.246493332305319655e+03
6.030858323971860045e+03,1.810267650735446068e+03
5.945806486661467716e+03,1.810267650735446068e+03
5.492544762567982616e+03,2.131741304737485734e+03
5.764345028960432501e+03,2.131741304737485734e+03
6.323252323492964933e+03,1.512219046521174960e+03
6.824119979882802909e+03,1.512219046521174960e+03
6.501160876016837392e+03,1.700744109829496438e+03
6.246090047291595511e+03,1.700744109829496438e+03
6.212616195878048529e+03,1.220447803910696621e+03
6.821121170308262663e+03,1.220447803910696621e+03
5.664322552549465399e+03,2.342597756773321180e+03
5.260286110703482336e+03,2.342597756773321180e+03
6.222933035249892782e+03,1.615752212970609889e+03
6.260371229532439429e+03,1.615752212970609889e+03
5.789367443107897088e+03,2.823520222736620326e+03
5.858744675150313924e+03,2.823520222736620326e+03
5.433723355625331351e+03,1.738501035670811007e+03
5.395645579359796102e+03,1.738501035670811007e+03
5.343550976789742890e+03,1.947319242742373262e+03
5.521405318865136906e+03,1.947319242742373262e+03
5.745285575980458816e+03,1.731821054407808106e+03
5.620484479317312434e+03,1.731821054407808106e+03
5.881703979644615174e+03,2.427946054392163660e+03
5.987602803696199771e+03,2.427946054392163660e+03
4.926478851977283739e+03,2.174771800460390750e+03
5.120317214023292763e+03,2.174771800460390750e+03
5.495004776425181262e+03,1.736093616093431365e+03
5.463625304318076815e+03,1.736093616093431365e+03
4.887301917313759077e+03,2.038926056436948556e+03
5.025947569424756693e+03,2.038926056436948556e+03
5.785295709654175880e+03,1.829686409380337636e+03
5.310235849606940974e+03,1.829686409380337636e+03
6.803619083244068861e+03,1.057072302344283116e+03
6.415542567055726977e+03,1.057072302344283116e+03
6.452849822002734072e+03,1.877496879528561749e+03
6.242449282240435423e+03,1.877496879528561749e+03
5.346531234565558407e+03,2.812304253032297765e+03
5.628418591955291049e+03,2.812304253032297765e+03
6.208736351524362362e+03,2.290565689469864992e+03
6.131579584420601350e+03,2.290565689469864992e+03
6.804189481319836887e+03,1.352083417603754469e+03
7.020050749624193486e+03,1.352083417603754469e+03
5.002151710226456998e+03,2.709021546395849327e+03
4.940112238205902031e+03,2.709021546395849327e+03
4.829836197778467067e+03,2.728117698660522819e+03
4.716980946639988360e+03,2.728117698660522819e+03
5.681158266517706579e+03,1.831655309234013885e+03
5.641929165259712136e+03,1.831655309234013885e+03
6.238022432606052462e+03,1.707995960942339480e+03
5.966800236371518622e+03,1.707995960942339480e+03
4.719050894330902338e+03,2.978296995248279472e+03
4.753134908178716614e+03,2.978296995248279472e+03
5.175401397181193715e+03,2.863170463805787676e+03
5.063733729575996222e+03,2.863170463805787676e+03
5.286868898790859930e+03,1.311957674682926154e+03
5.248433386980069372e+03,1.311957674682926154e+03
5.239367762160391067e+03,1.926530878417961958e+03
5.315601071584775127e+03,1.926530878417961958e+03
6.363577339412356196e+03,1.900861966607475097e+03
6.251421943292346441e+03,1.900861966607475097e+03
5.857530885613083228e+03,1.558984630387319385e+03
6.218431469537028534e+03,1.558984630387319385e+03
6.396868093360275452e+03,1.514022972914373440e+03
7.346822536393597147e+03,1.514022972914373440e+03
5.176888198381497205e+03,2.225010119870371909e+03
5.210243767621130246e+03,2.225010119870371909e+03
5.596316817580514908e+03,1.877093525660564637e+03
5.705122658450152812e+03,1.877093525660564637e+03
6.017899714271611629e+03,1.939166297731955638e+03
5.978140063339582412e+03,1.939166297731955638e+03
6.227592279947348288e+03,1.383577165357691683e+03
6.099593199632671713e+03,1.383577165357691683e+03
6.209283324114929201e+03,1.504332581879606323e+03
6.120166177611919011e+03,1.504332581879606323e+03
6.487246971297983691e+03,1.363949013746872652e+03
6.211999337262721383e+03,1.363949013746872652e+03
6.875708511269865085e+03,1.572760067897650742e+03
6.789840397335742637e+03,1.572760067897650742e+03
5.151217931325375503e+03,2.217088216849238506e+03
5.190940475955602778e+03,2.217088216849238506e+03
5.696073342586049876e+03,1.592082165428412054e+03
5.676891281281344163e+03,1.592082165428412054e+03
6.593691966776474146e+03,1.464999544118923041e+03
6.628009574905135196e+03,1.464999544118923041e+03
6.332592858396403244e+03,1.556434063041175932e+03
6.686013933416751570e+03,1.556434063041175932e+03
6.398320757839037469e+03,2.167555911198768172e+03
6.411650593894656595e+03,2.167555911198768172e+03
6.479789758652956152e+03,1.217119463656774542e+03
6.797768149578107113e+03,1.217119463656774542e+03
5.618082125407167041e+03,1.869436782905448126e+03
5.768578493392300516e+03,1.869436782905448126e+03
5.144423659421893717e+03,2.983524364555541069e+03
4.943833415572940794e+03,2.983524364555541069e+03
5.054672893667695462e+03,2.430309658389386641e+03
5.274727784788197823e+03,2.430309658389386641e+03
5.797535725493363316e+03,1.804697345488043538e+03
6.066726075357843911e+03,1.804697345488043538e+03
8.637896441761817186e+03,1.098895572578978545e+03
9.068827402797243849e+03,1.098895572578978545e+03
9.194466183033080597e+03,1.511503536012405675e+03
8.599948440947693598e+03,1.511503536012405675e+03
5.679559566925901890e+03,1.916220489987877500e+03
5.452124500370757232e+03,1.916220489987877500e+03
5.254033141721643915e+03,3.177627026615457908e+03
5.389745033533784408e+03,3.177627026615457908e+03
6.180896576422651378e+03,1.655038154742116376e+03
5.339466300067705561e+03,1.655038154742116376e+03
5.017604785639086003e+03,1.978860974733787089e+03
5.523057672047996675e+03,1.978860974733787089e+03
5.221620080168882851e+03,1.762203188372358454e+03
5.174073776846495093e+03,1.762203188372358454e+03
6.156065818533004858e+03,1.499001280860446286e+03
5.937809733681573562e+03,1.499001280860446286e+03
5.383257949193633976e+03,2.892182751251337777e+03
5.320751704884147330e+03,2.892182751251337777e+03
6.535539987593233491e+03,1.307828332104162428e+03
6.240234524085147314e+03,1.307828332104162428e+03
6.073133447395778603e+03,1.746198165055971231e+03
5.592301522234743970e+03,1.746198165055971231e+03
6.423998038909672687e+03,1.328050903546843301e+03
6.742342286111390422e+03,1.328050903546843301e+03
6.154324296045822848e+03,2.575784761543236982e+03
6.256598423187466324e+03,2.575784761543236982e+03
6.109328043690768027e+03,1.494116454079042342e+03
6.205812562594984229e+03,1.494116454079042342e+03
6.337833924253878649e+03,1.322133054306247004e+03
6.542119625829177494e+03,1.322133054306247004e+03
5.935630831628530359e+03,1.813297050011946340e+03
5.841731574983576138e+03,1.813297050011946340e+03
5.271234035046358258e+03,2.595827651772860008e+03
5.466618807094966542e+03,2.595827651772860008e+03
5.846197497327239944e+03,2.196881392662196504e+03
5.836832792455452363e+03,2.196881392662196504e+03
5.628239760362025663e+03,2.186165398367004400e+03
5.602935594084601689e+03,2.186165398367004400e+03
6.378855735470815489e+03,1.955123271948838692e+03
6.900664632507742681e+03,1.955123271948838692e+03
6.431748996469941630e+03,1.480684973835231631e+03
6.080435162054270222e+03,1.480684973835231631e+03
7.714370896321577675e+03,9.735901872935816073e+02
7.675485934332968100e+03,9.735901872935816073e+02
6.433462362548996680e+03,1.427504822208975838e+03
6.585384853198513156e+03,1.427504822208975838e+03
6.123266392242699112e+03,1.414768862695115104e+03
6.096579378643370546e+03,1.414768862695115104e+03
5.852153189887909321e+03,1.247895177479325184e+03
6.298985213077073240e+03,1.247895177479325184e+03
5.602952502389663096e+03,1.305015754588102936e+03
5.664157714610583753e+03,1.305015754588102936e+03
5.919784472862612347e+03,1.797807191022214283e+03
5.997269028185884963e+03,1.797807191022214283e+03
5.775210214740226547e+03,1.934872420928538304e+03
5.913606756686624976e+03,1.934872420928538304e+03
6.444304045830448558e+03,1.560215627606302405e+03
6.442893201382783445e+03,1.560215627606302405e+03
5.721030963219278419e+03,1.625408397210253042e+03
5.922289366732406961e+03,1.625408397210253042e+03
6.035504248578838087e+03,1.323724949185444075e+03
6.272618930481309690e+03,1.323724949185444075e+03
6.091798678125868719e+03,1.973322339714694181e+03
7.657123428215488275e+03,1.973322339714694181e+03
5.016831931595193055e+03,1.618139161426497367e+03
5.100962325126616633e+03,1.618139161426497367e+03
6.483233798637576911e+03,1.540971256704336383e+03
6.243898566049195324e+03,1.540971256704336383e+03
4.840399140890554918e+03,3.104100589025395493e+03
4.994739022653337088e+03,3.104100589025395493e+03
5.551096893257395095e+03,1.403632994932317160e+03
5.456407699854264138e+03,1.403632994932317160e+03
6.434961453229459948e+03,1.759937709843491575e+03
5.896537708085950726e+03,1.759937709843491575e+03
5.856948344025889128e+03,1.482372175269400032e+03
5.506868617886481843e+03,1.482372175269400032e+03
6.589469714411061432e+03,1.432579328777408136e+03
6.152780141828729938e+03,1.432579328777408136e+03
6.372247878069955732e+03,1.435253130826494726e+03
7.550933091790564504e+03,1.435253130826494726e+03
5.218797119361222940e+03,2.753187898752339152e+03
5.036629653551826777e+03,2.753187898752339152e+03
5.383984838061543087e+03,2.081041024563548945e+03
5.305172334353604128e+03,2.081041024563548945e+03
6.784716283157415091e+03,1.238974281767844786e+03
6.797775331089895190e+03,1.238974281767844786e+03
6.860060421283229516e+03,1.928488791787636728e+03
6.928484089856804530e+03,1.928488791787636728e+03
4.850011658079237350e+03,2.366074666225062629e+03
4.869740781647727090e+03,2.366074666225062629e+03
6.706429176435053705e+03,1.937175448253151217e+03
8.206256544306115757e+03,1.937175448253151217e+03
6.158025097280227783e+03,2.152067020879972915e+03
6.041618401688820086e+03,2.152067020879972915e+03
4.764521864342676963e+03,2.130793603242340396e+03
5.133154752107494460e+03,2.130793603242340396e+03
5.725600015207401157e+03,3.357165481888639988e+03
5.690778680614585937e+03,3.357165481888639988e+03
5.491781331086409409e+03,1.766938824204523598e+03
5.670922967536928809e+03,1.766938824204523598e+03
5.806187622077402921e+03,1.252801292280403686e+03
5.798864550132491786e+03,1.252801292280403686e+03
5.160889132581716694e+03,1.553125195038512175e+03
5.417989519888732502e+03,1.553125195038512175e+03
6.498219966454149471e+03,2.029406941243160190e+03
7.014090982672591963e+03,2.029406941243160190e+03
5.482192540318887040e+03,1.629492784769999844e+03
5.393615851277186266e+03,1.629492784769999844e+03
5.141153090199072722e+03,2.613893261313700805e+03
5.340546915600206376e+03,2.613893261313700805e+03
5.932192180176397414e+03,1.654352600063997670e+03
5.854099260886903721e+03,1.654352600063997670e+03
6.069645369165209559e+03,1.154645257372515061e+03
6.222116647254742929e+03,1.154645257372515061e+03
5.874987783814785871e+03,1.213035661331316533e+03
6.090988968533991283e+03,1.213035661331316533e+03
5.383012444410821445e+03,1.857242748738652153e+03
5.336670502547595788e+03,1.857242748738652153e+03
7.046229270682339120e+03,1.900297223236292211e+03
6.515887399879300574e+03,1.900297223236292211e+03
5.044395660999397478e+03,1.720116042584715160e+03
5.157372110127877022e+03,1.720116042584715160e+03
5.024537359520765676e+03,2.484707653767475222e+03
4.988040752399677331e+03,2.484707653767475222e+03
4.494939513859839280e+03,2.501363069086693486e+03
4.606270076827797311e+03,2.501363069086693486e+03
6.158694073779356586e+03,1.990773181973522696e+03
5.850425947264858223e+03,1.990773181973522696e+03
4.952138498672263268e+03,2.000095639883466902e+03
5.023400215121623660e+03,2.000095639883466902e+03
5.814369962955558549e+03,1.548921789557596185e+03
5.405358531731655603e+03,1.548921789557596185e+03
5.374430596289393179e+03,1.857769195459410639e+03
5.442659486812795876e+03,1.857769195459410639e+03
6.594849516081540060e+03,1.262961099072304251e+03
6.346653001866672639e+03,1.262961099072304251e+03
6.392171704525007044e+03,2.351246123030491617e+03
5.283896400061909844e+03,2.351246123030491617e+03
6.717413059122131926e+03,1.494867444838258734e+03
6.910735802146514288e+03,1.494867444838258734e+03
7.396067105309708495e+03,1.367184952222835818e+03
7.961997606707601335e+03,1.367184952222835818e+03
6.276643780679601150e+03,1.546787695097506912e+03
6.055256191232466335e+03,1.546787695097506912e+03
6.572368383354862090e+03,1.103353601695336465e+03
7.045599887862840660e+03,1.103353601695336465e+03
5.518501556864421218e+03,1.950452401408693277e+03
5.696321377625996320e+03,1.950452401408693277e+03
6.364962381572145205e+03,1.596814091096365019e+03
7.351394980969056633e+03,1.596814091096365019e+03
5.733068521359146871e+03,2.130294275120805651e+03
5.582270963620399016e+03,2.130294275120805651e+03
5.288813006955499986e+03,2.311319554176156544e+03
5.509745416554565963e+03,2.311319554176156544e+03
5.763782570888090049e+03,2.098843232678234472e+03
5.996650866292501632e+03,2.098843232678234472e+03
6.217229740253825184e+03,2.021112751694864528e+03
6.335072378967764053e+03,2.021112751694864528e+03
6.572461011981507909e+03,1.725953276854190335e+03
6.573203934203172139e+03,1.725953276854190335e+03
5.287741206438528025e+03,1.838352941650851335e+03
5.272069189969434774e+03,1.838352941650851335e+03
7.521515308075425310e+03,1.513765006306547775e+03
6.726376168377777503e+03,1.513765006306547775e+03
6.393302275849531725e+03,1.760692042003296137e+03
6.524350500179561095e+03,1.760692042003296137e+03
6.355422143098289780e+03,2.027819935279457013e+03
6.227568080833455497e+03,2.027819935279457013e+03
6.856747263399418443e+03,1.349965354362305106e+03
7.346068023823098883e+03,1.349965354362305106e+03
5.046914991484922211e+03,3.721795507042583267e+03
5.128458306078286114e+03,3.721795507042583267e+03
6.315864475808965835e+03,1.401792169000721969e+03
6.658856209679913263e+03,1.401792169000721969e+03
5.803058014645432195e+03,1.199335317007082494e+03
5.645999926612926174e+03,1.199335317007082494e+03
5.788510058740944260e+03,2.182997916020256980e+03
5.619963005279380923e+03,2.182997916020256980e+03
5.231909408407643241e+03,2.191266635683477034e+03
5.331377084964298774e+03,2.191266635683477034e+03
6.221983864688089852e+03,1.732044169676423280e+03
6.043151225739999973e+03,1.732044169676423280e+03
5.000194139887025813e+03,2.122462877531029335e+03
5.034854380813358148e+03,2.122462877531029335e+03
7.464321620465740125e+03,1.147703230101249801e+03
7.461050699250453363e+03,1.147703230101249801e+03
6.589297203984080625e+03,2.636109272701565260e+03
6.060204631597347543e+03,2.636109272701565260e+03
5.521882734556527794e+03,1.971964671192974720e+03
5.459437134722856172e+03,1.971964671192974720e+03
5.440965572555453946e+03,2.453304804561917081e+03
5.381186441624498912e+03,2.453304804561917081e+03
5.583882492566350265e+03,2.152986789575177227e+03
5.434865516343067611e+03,2.152986789575177227e+03
5.731722510962333217e+03,1.823583068773252535e+03
5.704602439911995134e+03,1.823583068773252535e+03
5.894610392404054437e+03,1.690177381604017228e+03
5.614393927496277684e+03,1.690177381604017228e+03
5.417809334951182791e+03,1.242333571716297456e+03
5.394783841088198642e+03,1.242333571716297456e+03
5.849054172591405404e+03,1.735390703212477092e+03
5.846584624858978714e+03,1.735390703212477092e+03
6.745763946399496490e+03,1.373300372453543787e+03
6.611658543101143550e+03,1.373300372453543787e+03
6.452792771017040650e+03,1.125123385772528536e+03
5.858733114700013175e+03,1.125123385772528536e+03
5.989937695759515009e+03,1.184151091078219906e+03
5.706114146021755005e+03,1.184151091078219906e+03
5.392512335872511358e+03,1.409447803243804174e+03
5.706683829981359850e+03,1.409447803243804174e+03
5.818290661358490979e+03,1.645542038319987341e+03
5.584570374613795138e+03,1.645542038319987341e+03
7.011617561204133381e+03,1.533499257670993757e+03
7.387755018785659558e+03,1.533499257670993757e+03
4.554623664711942183e+03,2.022653989283521923e+03
4.535729140173822998e+03,2.022653989283521923e+03
5.346345158578607879e+03,1.403816020096762713e+03
5.300839458844755427e+03,1.403816020096762713e+03
5.614817352703204051e+03,3.161146133514260782e+03
5.585007036960188088e+03,3.161146133514260782e+03
6.447841711055629276e+03,2.045948072060550203e+03
6.775464333218103093e+03,2.045948072060550203e+03
7.854456430459168587e+03,1.482985231149385299e+03
6.146310318244479276e+03,1.482985231149385299e+03
7.874931681066388592e+03,1.334122758459666329e+03
7.990735586983484609e+03,1.334122758459666329e+03
5.233947938076888022e+03,1.344296779655729097e+03
5.225810158790713103e+03,1.344296779655729097e+03
